"time";"keyWords"
"2015-01-21";"大陸,2330,台股,國家,中國,外資,分析師,將對,二線,半導體,加薪,企業,開始,權證,投資人,建議,國營企業,根據,媒體,員工,指標,DCB,3481,則屬,作為,2409,友達,QE,多頭,2330,大陸,2330,台股,國家,中國,外資,分析師,將對,二線,半導體,外資,可望,推估,年增率,10,判斷,台積電,企業,台灣,優於,投資人,半導體,iWatch,2303,供應鏈,2330,市場,iPhone,審視,上除,激勵,回神,上漲,2325,68.02,3008,2311,全場,9300,台積電,漲幅,權證,台積電,中多,中以,60,141,87,交戰,2330,漲幅,權證,台積電,中多,中以,60,141,87,交戰,2330,投資人,半導體,iWatch,2303,供應鏈,2330,市場,iPhone,審視,上除,結算,激勵,外資,22,多單,合約,亞股,15000,出現,多於,結算,激勵,外資,22,多單,合約,亞股,15000,出現,多於,指標,DCB,3481,則屬,作為,2409,友達,QE,多頭,2330,外資,可望,推估,年增率,10,判斷,台積電,企業,台灣,優於,加薪,企業,開始,權證,投資人,建議,國營企業,根據,媒體,員工,激勵,回神,上漲,2325,68.02,3008,2311,全場,9300,台積電"
"2015-07-14";"低功耗,格羅,方德,28,一項,22,13,FDX,GF,半導體技術,國會,希臘,丟回,3289,國內,出爐,860,一項,將球,供應鏈,獨角獸,億美元,台灣,台積電,千億美元,一樣,10,一隻,復活,尊為,法人,展望,將待,會後,其餘,半導體,2330,擁有,根據,整體,法說,000,大關,13,多頭,市場,強心針,再注,指數,4736,希臘,843,分析師,危機,兆豐,上漲,63,9056,國家,困案"
"2015-10-09";"2379,市場,半導體,如聯,2454,2330,性商,支撐,投資人,台股,半導體,3587,億元,兩月營,低標,700,台積電,季營,2330,3658,億元,合併,3.4,3.8,創下,2125.05,13.8,645.14,台積電,2330,季線,交叉,作收,KD,來看,出現,前波,並以,反彈,兩天,8445,台股,上探,出來,之後,2015,呼籲,國際,國安,8544"
"2015-11-16";"季線,台股,跌破,王台,2330,值股,力守,台積電,132,台積,創新,個股,高且,19,EPS,創高,共計,僅是,完畢,季報,建議,操作,反彈,型態,依據,參考,低檔,平倉,偏空,壓力,指數,沈重,11,亮麗,反彈,Fed,10,國聯,供應鏈,外資"
"2015-04-24";"加權指數,台股,2330,上漲,兩大,半導體,2454,強彈,強勢,150,認為,現貨,期貨,大寶,外資,兩岸,654,分析師,實力,台股,釋出,夥伴,偏弱,2330,IC,供應鏈,TI,台積電,並以,PC,認為,現貨,期貨,大寶,外資,兩岸,654,分析師,實力,台股,釋出,夥伴,偏弱,2330,IC,供應鏈,TI,台積電,並以,PC,台積電,外資,22,帶領,台股,歐系,2330,減少,日起,150,指期,月台,最高點,大盤,來到,10,9920,20,上漲,000,指期,月台,最高點,大盤,來到,10,9920,20,上漲,000,S6,高通,供應鏈,2330,46,亞系,Galaxy,Andr,報告,嚴重,價量,上揚,2330,28,27,2317,台積,外資,升溫,主導,2007,223,10,9961,30,163,今早,來襲,2000,9859,半導體,2330,台勝科,均線,48.75,10,帶動,收復,大漲,3532,2007,223,10,9961,30,163,今早,來襲,2000,9859,半導體,2330,台勝科,均線,48.75,10,帶動,收復,大漲,3532,證券,股價,巴克萊,台積,半導體,士氣,對漢,600,侯明,分析師,台積電,外資,22,帶領,台股,歐系,2330,減少,日起,150,價量,上揚,2330,28,27,2317,台積,外資,升溫,主導,加權指數,台股,2330,上漲,兩大,半導體,2454,強彈,強勢,150,證券,股價,巴克萊,台積,半導體,士氣,對漢,600,侯明,分析師,S6,高通,供應鏈,2330,46,亞系,Galaxy,Andr,報告,嚴重"
"2015-09-21";"千禧年,悲觀,出現,合約,SCM,市場需求,價位,投資人,半導體,優於,重挫,8307.04,億元,分鐘,來到,8285.43,155.1,756.7,回測,台股"
"2015-05-04";"台股,三溫暖,億元,加權指數,9845.04,24.99,130,多空,上漲,982.22,釋出,市場,大為,供應鏈,季增,單季,2454,2330,庫存,不彰,OI,履約,10,點有,合約,Put,平倉,600,選擇權,Call,台股,低利,加持,兩大,出現,加碼,儘管,報告,堅定,上修,上櫃,立凱,評鑑,公司,治理,王台,唯一,3658,名單,2330,台股,低利,加持,兩大,出現,加碼,儘管,報告,堅定,上修,OI,履約,10,點有,合約,Put,平倉,600,選擇權,Call,大漲,紅盤,王台,國際,台股,2330,指期,上漲,3008,數度,大漲,紅盤,王台,國際,台股,2330,指期,上漲,3008,數度,上櫃,立凱,評鑑,公司,治理,王台,唯一,3658,名單,2330,台股,三溫暖,億元,加權指數,9845.04,24.99,130,多空,上漲,982.22,釋出,市場,大為,供應鏈,季增,單季,2454,2330,庫存,不彰"
"2015-08-13";"保證金,融券,挹注,台股,亞洲,120,成數,差額,12,採取,精材,台積電,董事會,股權,日前,加碼,上櫃,午盤,3374,亮燈"
"2015-04-11";"美股,港股,反彈,企業,國際,以至於,並未,三大,之台灣,影響,封裝,晶圓,精材,上櫃,WLCSP,3374,2.65,50,上漲,6.3,億元,0.2,15.4,220.3,仍多,10,44.7,台積,147,722.7,億元,0.2,15.4,220.3,仍多,10,44.7,台積,147,722.7,台股,只賴,兩岸,創新,事實上,以來,國內,均霑,之際,僅具,營收,半導體,台積電,月光,品月,16,動向,12,14.9,17.6,營收,億元,台積電,第一季,2220.34,不淡,44.7,722,15.4,天數,法說,陸續,王台,台股,將有,建宗,2330,2882,3008,季獲,帶領,三大,半導體,台股,9.9,2330,20.2,600,壓力,周賣,帶領,三大,半導體,台股,9.9,2330,20.2,600,壓力,周賣,美股,港股,反彈,企業,國際,以至於,並未,三大,之台灣,影響,台股,只賴,兩岸,創新,事實上,以來,國內,均霑,之際,僅具,營收,成長,法人,偏愛,共計,對於,優於,同時,659,收雙,封裝,晶圓,精材,上櫃,WLCSP,3374,2.65,50,上漲,6.3,法說,陸續,王台,台股,將有,建宗,2330,2882,3008,季獲,偏空,300,億元,企業,債務,仍難,2330,動盪,出現,個股,營收,成長,法人,偏愛,共計,對於,優於,同時,659,收雙,偏空,300,億元,企業,債務,仍難,2330,動盪,出現,個股,營收,半導體,台積電,月光,品月,16,動向,12,14.9,17.6,營收,億元,台積電,第一季,2220.34,不淡,44.7,722,15.4,天數"
"2015-03-24";"青睞,個股,名單,2324,2882,中則,仁寶,2330,3008,4904,台灣,最佳,亞洲,大哥大,副總,23,執行,企業,佳績,2015,台灣,最佳,亞洲,大哥大,副總,23,執行,企業,佳績,2015,成交,金額,昨天,後頭,上櫃,2.7,個股,成交額,億元,拋在,設備,半導體,報導,三星電子,壞消息,商是,延後,或許,現有,採購,Apple,Pay,行動,支付,Adoption,And,Behavior,商機,不過,市場,2330,亞股,9759.96,3008,三大,1.87,今早,台積電,剩聯,2454,設備,半導體,報導,三星電子,壞消息,商是,延後,或許,現有,採購,股東,上櫃,精材,控股,42,3374,23,OmniVision,價格,Vi,青睞,個股,名單,2324,2882,中則,仁寶,2330,3008,4904,Apple,Pay,行動,支付,Adoption,And,Behavior,商機,不過,市場,成交,金額,昨天,後頭,上櫃,2.7,個股,成交額,億元,拋在,股東,上櫃,精材,控股,42,3374,23,OmniVision,價格,Vi,2330,亞股,9759.96,3008,三大,1.87,今早,台積電,剩聯,2454"
"2015-07-12";"記者會,PChome,中國,發表,展展,ZenPad,7-11,App,OPPO,Pi,國安,基金,失序,啟動,中將,13,執行,台股,各國,例會,效應,發生,蓮花,並未,台灣,藤原,台股,中度颱風,同時,一輕"
"2015-05-11";"供料,台灣,光台,2006,依賴,之際,喜傳,國內,公噸,2.5,積電,營運,呈現,2330,台積電,加碼,外資,市場,回溫,敲進,一路下,王台,上周五,上萬口,伴隨,反彈,不願,台股,唯獨,2330,產業,半導體,232,2330,下修,semi,12,11,TWSESCI,儘管"
"2015-08-23";"台股,來源,慘遭,出現,10,大類,打擊,扭轉,年線,市場,台股,外代,國安,保衛戰,儼然,國家隊,備戰,成為,對台,傳染"
"2015-05-03";"20,國際,內容,半導,30,台積電,世界級,大學隊,10,2330,PMI,製造業,因低,天數,11.3,47.8,屬於,上揚,影響,59.1,研發,製造業,統計,創下,則為,五千億元,投資,占營收,整體,產業,報酬,拉回,冠軍,上漲,參賽者,530,台股,3.6,投資,戰報,兩周,大學,佛光,持股,大立光,持續,寶座,本隊,兩隊,台達電,20,國際,內容,半導,30,台積電,世界級,大學隊,10,2330,研發,製造業,統計,創下,則為,五千億元,投資,占營收,整體,產業,PMI,製造業,因低,天數,11.3,47.8,屬於,上揚,影響,59.1,報酬,拉回,冠軍,上漲,參賽者,530,台股,3.6,投資,戰報,兩周,大學,佛光,持股,大立光,持續,寶座,本隊,兩隊,台達電"
"2015-01-19";"台股,現貨,歐美,期貨,上周五,出現,呈現,分析師,在期,上漲,指期,高點,大漲,今早,之後,9260,出現,145,來到,投資,股價,作多,兩日,協虞逸真,15,價平到,10,台積電,台股,2330,指期,高點,大漲,今早,之後,9260,出現,145,來到,投資,台股,上漲,半年線,台積電,偏空,200,16,國際,回測,仍須,股價,作多,兩日,協虞逸真,15,價平到,10,台積電,台股,2330,國際,反彈,分析師,500,16,勁揚,台股,企業,原油價格,優於,台股,國際,圓夢,台積電,動盪,兩隻,希臘,投資人,大立,光法,國際,股市,加持,外資,三大,反彈,強勢,台股,投顧,16,法說,28,上漲,並以,2330,139.5,即將,1.28,召開,作收,台積電,大盤,16,回補,升勢,外資,已散,市場,大立光,15,台股,上漲,半年線,台積電,偏空,200,16,國際,回測,仍須,台股,現貨,歐美,期貨,上周五,出現,呈現,分析師,在期,上漲,國際,反彈,分析師,500,16,勁揚,台股,企業,原油價格,優於,台積電,大盤,16,回補,升勢,外資,已散,市場,大立光,15,國際,股市,加持,外資,三大,反彈,強勢,台股,投顧,16,台股,國際,圓夢,台積電,動盪,兩隻,希臘,投資人,大立,光法,硬體,描繪,常態,平的,新聞獎,普立茲,書中,收購,湯馬斯,時至今日,下車,26,138,2330,16,139,來看,優於,億元,上漲,下車,26,138,2330,16,139,來看,優於,億元,上漲,硬體,描繪,常態,平的,新聞獎,普立茲,書中,收購,湯馬斯,時至今日,法說,28,上漲,並以,2330,139.5,即將,1.28,召開,作收"
"2015-10-04";"相對,企圖,型態,呈現,8500,墊高,多數,大盤,對於,大立光,台股,ETF,台灣,大陸,長假,假期,十一,10,因為,國慶,空單,可望,15,多頭,分析師,加劇,外資,借券,大盤,大漲"
"2015-03-15";"徵才,科系,18,企業,國立,參與,120,基礎,北科大,大學校園,投資,論壇,美林,三大,Technology,20,16,17,Beyond,Conference,徵才,科系,18,企業,國立,參與,120,基礎,北科大,大學校園,市場,降息,美國,數據,升息,意外,Fed,國家,南韓,台灣,投資,論壇,美林,三大,Technology,20,16,17,Beyond,Conference,638,五檔,0.93,優於,仍穩,參賽者,台股,大盤,冠軍,個股,638,五檔,0.93,優於,仍穩,參賽者,台股,大盤,冠軍,個股,市場,降息,美國,數據,升息,意外,Fed,國家,南韓,台灣"
"2015-04-01";"獲利,全體,年增,兆元,2015,以來,企業,17,30.6,估計,純益,稅後,每股,亞科,31,144.91,109.8,638,億元,EPS,外資,平盤,回測,對台,分析師,31,上漲,強勢,大盤,偏空,獲利,純益,稅後,亞科,成長,年增率,優勢,2014,三至,展現,獲利,全體,年增,兆元,2015,以來,企業,17,30.6,估計,族群,要角,台積電,俱樂部,台股,以小,2330,啟動,不淡,多頭,集團,獲利,億元,歷史,台塑,663,冠軍,2014,以創,則以,外資,平盤,回測,對台,分析師,31,上漲,強勢,大盤,偏空,設計,製造,合併,創下,呈現,台積電,優於,廠商,半導體,指標,獲利,純益,稅後,亞科,成長,年增率,優勢,2014,三至,展現,兆元,1.97,亮麗,31,2014,1.8,企業,全數,500,18,純益,稅後,每股,亞科,31,144.91,109.8,638,億元,EPS,族群,要角,台積電,俱樂部,台股,以小,2330,啟動,不淡,多頭,設計,製造,合併,創下,呈現,台積電,優於,廠商,半導體,指標,集團,獲利,億元,歷史,台塑,663,冠軍,2014,以創,則以,兆元,1.97,亮麗,31,2014,1.8,企業,全數,500,18"
"2015-02-08";"多國,丹麥,屢見,國際,台股,15,希臘,投資,出乎預料,單日,多國,丹麥,屢見,國際,台股,15,希臘,投資,出乎預料,單日,EPS,年增率,60.6,4.15,6269,五檔,17.42,個股,億元,6.71,財政部,發表,儲金,Book,ZenBook,中階,Transformer,宏達,2014,實施,表現,進出口,12,出口,年減,億美元,2.8,未如,單月,橡膠,EPS,年增率,60.6,4.15,6269,五檔,17.42,個股,億元,6.71,財政部,發表,儲金,Book,ZenBook,中階,Transformer,宏達,2014,實施,表現,進出口,12,出口,年減,億美元,2.8,未如,單月,橡膠"
"2015-02-04";"價差,縮至,期正,15.27,上漲,0.52,0.44,2.45,44,分析師,聯發科,2454,召開,中國,出貨,3702,大陸,報告,將於,外資,大盤,千億元,9500,外資,9532,9593,2330,投資,廖繼弘,台積電,微星,股價,漲近,市場,爆出,中國,1.5,B9,國泰,083346,期貨,上漲,外資,多頭,反應,大寶,數字,期貨市場,持續,不變,封測,雙雄,2325,2311,Ti,2454,召開,再創,持續,客戶,期貨,上漲,外資,多頭,反應,大寶,數字,期貨市場,持續,不變,封測,雙雄,2325,2311,Ti,2454,召開,再創,持續,客戶,聯發科,2454,召開,中國,出貨,3702,大陸,報告,將於,外資,價差,縮至,期正,15.27,上漲,0.52,0.44,2.45,44,分析師,微星,股價,漲近,市場,爆出,中國,1.5,B9,國泰,083346,大盤,千億元,9500,外資,9532,9593,2330,投資,廖繼弘,台積電"
"2015-08-16";"指數,0.64,主計,人民幣,三大,0.6,台股,MSCI,國際,作收,上周,0.84,個股,4733,上緯,451,0.5,四檔,3.5,744,台股,人民幣,中央銀行,1.6,中間,中國,14,1.56,下修,11,標的,市場,匯率,中國,動作,導向,帶動,兩大,強勢,對於"
"2015-01-30";"權證,月光,區間,2.4,以來,凱基,2311,外資,低買高賣,強勢,台積電,奈米,市場,Finfet,20,三星,16,2330,14,Apple,現貨,跌幅,之間,1.39,2240,2210,1.74,以台幣,2330,作收,明顯,外資,現貨,跌幅,1.4,29,國際,大寶,不敵,出籠,現貨,跌幅,之間,1.39,2240,2210,1.74,以台幣,2330,作收,權證,月光,區間,2.4,以來,凱基,2311,外資,低買高賣,強勢,台積電,奈米,市場,Finfet,20,三星,16,2330,14,Apple,指期,指數,9400,9472,今早,不敵,28,225.48,97159,僅金,指期,指數,9400,9472,今早,不敵,28,225.48,97159,僅金,台股,加權指數,亞洲,三大,今收,9466,分鐘,加權,不斷,光電,台股,跌破,昨天,再小買,億元,9426,35,9500,受美股,84,台股,跌破,昨天,再小買,億元,9426,35,9500,受美股,84,明顯,外資,現貨,跌幅,1.4,29,國際,大寶,不敵,出籠,台股,加權指數,亞洲,三大,今收,9466,分鐘,加權,不斷,光電"
"2015-04-28";"四個,國泰,市值,兆元,億元,28.99,合計,200,創新,27,萬點,外資,002,27,備戰,15,000,創下,973,叩關,萬點,外資,002,27,備戰,15,000,創下,973,叩關,景氣,國發,下滑,判斷,分數,27,吳明蕙,以來,加溫,16,屏息以待,昨天,24.96,台股,上漲,1001,季財報,市場,今早,9998.08,投資,企業,保留盈餘,立法院,10,兆元,15,召委羅明,加徵,回來,四個,國泰,市值,兆元,億元,28.99,合計,200,創新,27,景氣,國發,下滑,判斷,分數,27,吳明蕙,以來,加溫,16,IC,23,PCB,10,27,321,002,價量,15,775,15,加權指數,不過,分大單,9973.12,上漲,59.84,一舉,創下,10002.58,電子,指期,市場,壓力,台股,不輕,10,中場,壓盤,再創,屏息以待,昨天,24.96,台股,上漲,1001,季財報,市場,今早,9998.08,歷年,預料,客戶,首季,新高,控管,京元電,2449,優於,0.48,IC,23,PCB,10,27,321,002,價量,15,775,15,加權指數,不過,分大單,9973.12,上漲,59.84,一舉,創下,10002.58,歷年,預料,客戶,首季,新高,控管,京元電,2449,優於,0.48,萬點,本波,外資,凸顯,大立光,國際,不少台,有別,熱錢,分析師,投資,企業,保留盈餘,立法院,10,兆元,15,召委羅明,加徵,回來,億元,公噸,2013,備受,中鋼構,可達,台積電,商機,200,25,萬點,本波,外資,凸顯,大立光,國際,不少台,有別,熱錢,分析師,電子,指期,市場,壓力,台股,不輕,10,中場,壓盤,再創,億元,公噸,2013,備受,中鋼構,可達,台積電,商機,200,25"
"2015-10-13";"小跌,2330,則漲,南韓,571,2454,台股,3008,大立光,回檔,13,3008,市場,2330,不過,10,意願,指期,多頭,2317,再創,台股,578,369,不過,2317,國慶,外資,2.5,2330,法說,多頭,大關,2634,再注,12,市場,台股,強心針,500,不旺,營收,旺季,半導體業,半導體,低於,傳統,台幣,僅聯,台積,法說,15,2330,佳及,iPhone6s,分析師,半導體,內容,台積電,3008"
"2015-10-20";"股期,10,指期,現貨,月台,659,202,上漲,663,不過,新機,股價,昨天,低點,iPhone,2450,反觀,iPhones,即將,A9,預期,台積電,中長線,不變,半導體,宣稱,市場,先進,影響,大盤,股王,權證,多數,出現,大立光,呈現,不論,3658,切入點,建議,手機,法說,晶片,3.8,中國,2454,10,30,億套,IC,IC,設計,可將,2311,台積,去化,11,何麗梅,台積電,2330"
